name,id,uri,followers,genres,popularity,top_tracks
sellar,2eE2igevXc1oO8cBldYZDy,spotify:artist:2eE2igevXc1oO8cBldYZDy,1239,lo-fi; lo-fi beats,52,Slow Morns; cocoon; midnight escape; nightvision; Break Time; shooting star; embrace; Deck the Halls; All I Want For Xmas; Purpose
G Sounds,0C7tVaY5qlP5YgYh7DSUoJ,spotify:artist:0C7tVaY5qlP5YgYh7DSUoJ,36252,,52,she is my sunshine; lovely morning; Pure Imagination (Lofi); champagne; skyblue; Point the Star 2; Pure Imagination Lofi 3; my girl; Point the Star 3; Point the Star
Toti Cisneros,2RzBTtaoFmXDvt5vP8lPYf,spotify:artist:2RzBTtaoFmXDvt5vP8lPYf,2028,jazz beats; lo-fi; lo-fi beats,52,Fragments; Still Us; Happy Inside; Morning At The Sea; Sway; Grumpy; Jetlag; awakening; Bebop; Eyes Closed
Fracta Aurea,6IfjthXfdys0smRoO7rBGL,spotify:artist:6IfjthXfdys0smRoO7rBGL,249,lo-fi beats; lo-fi,51,Fizzdrop; Arcticano; Meadroad; Chlorosea; Blisspark; Umbralis; Palmrush; Solmelt; Barcelona; Jazzy Keys
Cloudroom,6x4p39bu2ObskR6pMFFh6Z,spotify:artist:6x4p39bu2ObskR6pMFFh6Z,144,lo-fi beats; lo-fi,51,Laissez-Faire; Still Peel; Street Window; Shoji Bounce; Paper Rain; Tape & Steam; Blank Afternoon; Nighttime B-Side; Forgotten Memories
heirloom,3Q6Jurd5PQMm7Q52Xk6yuW,spotify:artist:3Q6Jurd5PQMm7Q52Xk6yuW,143,lo-fi beats; lo-fi,51,so we wait; potions; nostalgia; did you call me?; apple sauce; anachronism; bubble wrap; shinto shrine; sundae; tic tac
Analogue Alf,4FVJdMWSQhn3zO1NKxMHAi,spotify:artist:4FVJdMWSQhn3zO1NKxMHAi,189,lo-fi beats; lo-fi,51,oldkeys; pillowloop; coldtea
Mareel,7nI22V07BuRLz4BKbXtE5z,spotify:artist:7nI22V07BuRLz4BKbXtE5z,74,lo-fi beats; lo-fi,51,Blush Dunes; Nightfall; Golden Save; Rain on Wires; Cabin Light; Blue Horizon; Pastel Pixels; Soft Lights; Cotton Skies
Beats on 21st,2VBUiCVWzqYXz3VdzHQMG5,spotify:artist:2VBUiCVWzqYXz3VdzHQMG5,262,lo-fi beats; lo-fi,51,downstream; waiting; fade; analog dreams; drop out; Rewind; Lost In Your Eyes; so far; Endless Nights; slow down
Spring Bingo,6nKx4Rzt8UvlMs3zEiwMif,spotify:artist:6nKx4Rzt8UvlMs3zEiwMif,468,lo-fi; lo-fi beats,51,Five; Lucid; Deep; Honey; Blume; Jungle; Prairies; Ether; Drifting; DEW
nate2timez,0vABYweyJunNI8gFdnxXps,spotify:artist:0vABYweyJunNI8gFdnxXps,1829,dark ambient; lo-fi,51,Iris; Lilly Pad; Hazel; Dandelion; Looking Up To The Sky; Fix Myself; all of me; cumulonimbus; stratus; Autumn Rain
lorleaf,4dIQxgH4s739dGAHaKAw0y,spotify:artist:4dIQxgH4s739dGAHaKAw0y,2453,lo-fi beats; lo-fi; jazz beats,51,Isular; Kanáan; kiko; Accra; Dhermi; Bali; tirana; Perseide; Umbria; Fint
CMJ,0PbBgZYFayICVW0646NtXG,spotify:artist:0PbBgZYFayICVW0646NtXG,8871,jazz beats; lo-fi; lo-fi beats; jazz rap,51,Midnight Oil; Nectar; At Rest; Hot Cocoa; By The Creek; Brick By Brick; Afternoon Rays; Light Traffic; On The Rocks; Changing Seasons
Flitz&Suppe,49WbztFLx9iDTh8LHEIF84,spotify:artist:49WbztFLx9iDTh8LHEIF84,26835,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,51,Quicksilver; lohmar; Mujinas Ramen Shop; Tonight; Azo; Funkaholic; OdeToYou; Interstellar; Stand Alone Complex; About The Distance
Dozy Duzzn,2CPIZDGSe0zORQADHqFIAY,spotify:artist:2CPIZDGSe0zORQADHqFIAY,548,lo-fi; lo-fi beats,51,Dream Drift; Between Dream; Folding Quiet; CTRL; NapBeats; Snooze Groove; Napwave Nirvana; Raindrops on Loops; Glimmers; Velvet 87
yvwn.,4nKqGQ0oFqlfBmXxiMPEO1,spotify:artist:4nKqGQ0oFqlfBmXxiMPEO1,153,lo-fi; lo-fi beats,50,sink or swim; blue light; Eversin; knowing; quiet down; off the grid; falling in reverse; When the sky falls down; shallow waters; Veloria
Theo Aabel,6yxMxVw1MRLoB9EJWO5XVe,spotify:artist:6yxMxVw1MRLoB9EJWO5XVe,2393,lo-fi,50,come with me; apollo; sova; hibernation; seabed; rem; lullaby; circadian; stjärnljus; celestial
