name,uri,followers,genres,popularity,top_tracks
Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,4548956,,78,Heat Waves; Take A Slice; Gooey; Youth; A Tear in Space (Airlock); Vampire Bat; The Other Side Of Paradise; Heat Waves - Slowed; Creatures in Heaven; Your Love (Déjà Vu)
Vance Joy,spotify:artist:10exVja0key0uqUkk6LJRT,3465070,folk pop,78,Riptide; Mess Is Mine; Missing Piece; Georgia; Fire and the Flood; Saturday Sun; I'm with You; Divine Feelings; We're Going Home; Clarity
Djo,spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,2246909,,78,End of Beginning; Basic Being Basic; Delete Ya; Chateau (Feel Alright); Carry The Name; Roddy; Potion; Mr. Mountebank; It's Over; Charlie's Garden
Royel Otis,spotify:artist:5b5bt4mZQpJMoCRbiQ7diH,550993,indie,78,Linger - SiriusXM Session; who’s your boyfriend; Oysters In My Pocket; car; moody; say something; i hate this tune; Sofa King; Kool Aid; come on home
Cage The Elephant,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,4272917,,77,Cigarette Daydreams; Come A Little Closer; Ain't No Rest For The Wicked - Original Version; Trouble; Cold Cold Cold; Social Cues; Telescope; Black Madonna; Ready To Let Go; Broken Boy
MGMT,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,3545049,indie,77,Kids; Electric Feel; Little Dark Age; Time to Pretend; When You Die; Indie Rokkers; Me and Michael; Congratulations; Weekend Wars; The Youth
Kevin Kaarl,spotify:artist:6OBGbSaBUvQtk9wpQfDbOE,8861755,latin folk; mexican indie,77,San Lucas; Colapso; Vámonos a Marte; Abrazado a Ti; me va a costar; te quiero tanto; Si Supieras; Amor Viejo; Es Que Yo Te Quiero A Ti; no me culpes por sentir
Leon Bridges,spotify:artist:3qnGvpP8Yth1AqSBMqON5x,1912284,retro soul,77,River; Coming Home; Texas Sun; The Hardest Part (feat. Leon Bridges); Beyond; Mariella; Bad Bad News; July (feat. Leon Bridges); Elegantly Wasted [Feat. Leon Bridges]; B-Side
Blood Orange,spotify:artist:6LEeAFiJF8OuPx747e1wxR,1309889,art pop,76,"Champagne Coast; Mind Loaded (feat. Caroline Polachek, Lorde & Mustafa); Vivid Light; Charcoal Baby; The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar); Somewhere in Between; Look At You; Countryside (feat. Eva Tolkin, Liam Benzvi & Ian Isiah); Thinking Clean; You're Not Good Enough"
Beach House,spotify:artist:56ZTgzPBDge0OvCGgMO3OY,2765551,dream pop,76,Space Song; Master of None; Silver Soul; Myth; Wildflower; Lemon Glow; PPP; Take Care; Lazuli; Wherever You Go
Mumford & Sons,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,6593202,folk; indie folk; folk rock,76,Little Lion Man; I Will Wait; The Cave; Woman; White Blank Page; Believe; Awake My Soul; Rushmere; Tompkins Square Park; Hopeless Wanderer
Montell Fish,spotify:artist:5nvWOyAkfNgVLKESq4fOj2,2108482,,76,Hotel; Bathroom; Fall in Love with You.; Destroy Myself Just For You; Talk 2 Me; Altitude; You Make Me Feel Loved; I Just Wanna Feel Your Love Again; love you more than me; Exscape
girl in red,spotify:artist:3uwAm6vQy7kWPS2bciKWx9,8657721,bedroom pop,75,we fell in love in october; i wanna be your girlfriend; bad idea!; girls; midnight love; You Need Me Now? (feat. Sabrina Carpenter); I'll Call You Mine; summer depression; Hemingway; i'll die anyway.
Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,4017210,,74,Pumped Up Kicks; Sit Next to Me; Imagination; Houdini; Helena Beat; Call It What You Want; Don't Stop (Color on the Walls); I Would Do Anything for You; Waste; Lamb's Wool
Milky Chance,spotify:artist:1hzfo8twXdOegF3xireCYs,2067112,,74,Stolen Dance; Flashed Junk Mind; Down By The River; Cocoon; Living In A Haze; Camouflage; Synchronize; Passion; Colorado; Naked And Alive
Parcels,spotify:artist:3oKRxpszQKUjjaHz388fVA,1059828,indie soul,74,Tieduprightnow; Overnight; Gamesofluck; Sorry; Lightenup; Yougotmefeeling; IknowhowIfeel; Summerinlove; Leaveyourlove; Tobeloved
M83,spotify:artist:63MQldklfxkjYDoUE4Tppz,2595726,,74,Midnight City; Outro; Wait; Solitude - Felsmann + Tiley Reinterpretation; My Tears Are Becoming a Sea; Oblivion; I Need You; Reunion; Midnight City - Eric Prydz Private Remix; Go!
The Black Keys,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,4134840,blues rock; garage rock; modern blues; rock,74,"Lonely Boy - 2021 Remaster; Howlin' for You; Gold on the Ceiling - 2021 Remaster; Tighten Up; Little Black Submarines - 2021 Remaster; Wild Child; Weight of Love; Fever; Lo/Hi; No Rain, No Flowers"
Jungle,spotify:artist:59oA5WbbQvomJz2BuRG071,1733239,,74,Back On 74; Let's Go Back; I've Been In Love; Casio; Candle Flame; Keep Moving; Busy Earnin'; Problemz; Happy Man; All Of The Time
Big Thief,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,1296491,,74,Velvet Ring - 2023 Remaster; Vampire Empire; Simulation Swarm; Paul - 2023 Remaster; Incomprehensible; Los Angeles; Words; Not; All Night All Day; Change
Current Joys,spotify:artist:0m5FakHKCQdA7UN0PIzMcL,1739572,lo-fi indie,73,Kids; Symphonia IX; Blondie; Fear; New Flesh; Become the Warm Jets; A Different Age; Televisions; You Broke My Heart; Under the Influence
Men I Trust,spotify:artist:3zmfs9cQwzJl575W1ZYXeT,2301288,bedroom pop; indie pop,73,Show Me How; Numb; Lauren; Tree Among Shrubs; Seven; I Hope to Be Around; Sugar; You Deserve This; Carried Away; Tailwhip
Phantogram,spotify:artist:1l9d7B8W0IHy3LqWsxP2SH,954026,,73,Black Out Days (Stay Away); Black Out Days; When I'm Small; Black Out Days - Future Islands Remix; Fall In Love; Black Out Days - Subtronics Remix; Mouthful of Diamonds; Don't Move; Black Out Days - Future Islands Remix (Slowed); In My Head
The Walters,spotify:artist:027TpXKGwdXP7iwbjUSpV8,1030438,,73,I Love You So; I Love You So - Acoustic; Sweet Marie; R.I.P.; Fancy Shoes; Goodbye Baby; Cottage Roads; Cheap Drugs; Life; New Girl (Tom's Song)
Ethel Cain,spotify:artist:0avMDS4HyoCEP6RqZJWpY2,1087776,southern gothic,73,"Nettles; Crush; American Teenager; Fuck Me Eyes; Dust Bowl; Strangers; Janie; Waco, Texas; Sun Bleached Flies; A House In Nebraska"
Mt. Joy,spotify:artist:69tiO1fG8VWduDl3ji2qhI,639683,,73,Silver Lining; Dirty Love; Strangers; Astrovan; Julia; Bathroom Light; Sheep; In The Middle; Rearrange Us; Jenny Jenkins
Khruangbin,spotify:artist:2mVVjNmdjXZZDvhgQWiakk,2172037,neo-psychedelic,73,Texas Sun; Mariella; People Everywhere (Still Alive); August 10; White Gloves; May Ninth; B-Side; So We Won't Forget; Time (You and I); Midnight
Wallows,spotify:artist:0NIPkIjTV8mB795yEIiPYL,2995732,indie,72,Are You Bored Yet? (feat. Clairo); Calling After Me; Remember When; Scrawny; Pleaser; These Days; OK; Bad Dream; Your Apartment; Just Like a Movie
Of Monsters and Men,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,3607191,folk pop,72,Little Talks; Dirty Paws; Mountain Sound; King And Lionheart; Crystals; Ordinary Creature; Dream Team; Television Love; Love Love Love; Wolves Without Teeth
Ricky Montgomery,spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw,2383715,,72,Mr. Loverman; Line Without a Hook; My Heart Is Buried in Venice; This December; Talk to You; Line Without a Hook - sped up; Line Without a Hook (feat. mxmtoon); Out Like a Light; Snow; Cabo
Portugal. The Man,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,1516643,,72,"Feel It Still; Glide; So Young; Live in the Moment; Modern Jesus; Denali; Tidal Wave; What, Me Worry?; Dummy; Purple Yellow Red and Blue"
alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,3420294,indie; indie rock,71,Breezeblocks; Left Hand Free; Tessellate; Fitzpleasure; Something Good; Taro; Matilda; Deadcrush; Every Other Freckle; U&ME
Danger Mouse,spotify:artist:2dBj3prW7gP9bCCOIQeDUf,273714,,71,Crazy; Benzi Box; The High Road; Crosshairs; Belize (feat. MF DOOM); Good Luck; Sofa King; The Ghost Inside; Who's Gonna Save My Soul; Holding on for Life
Lykke Li,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,1943557,,71,I Follow Rivers - The Magician Remix; Possibility; Little Bit; sex money feelings die; I Follow Rivers; sex money feelings die - slowed version; Little Bit (feat. Autoerotique) - Remix; Late Night Feelings (feat. Lykke Li); I Know Places; No Rest for the Wicked
Omar Apollo,spotify:artist:5FxD8fkQZ6KcsSYupDVoSO,1124136,bedroom pop,71,Hecho para ti; Evergreen (You Didn’t Deserve Me At All); Bleed (feat. Omar Apollo); Invincible (feat. Daniel Caesar); Want U Around (feat. Ruel); Useless; Te Olvidaste; Endlessly; Killing Me; Worth the Wait (feat. Omar Apollo)
Maggie Rogers,spotify:artist:4NZvixzsSefsNiIqXn0NDe,1270184,,70,Dawns (feat. Maggie Rogers); Alaska; Light On; Love You For A Long Time; Fallingwater; Don't Forget Me; Say It; The Kill; So Sick Of Dreaming; Anthems For A Seventeen Year-Old Girl
Two Door Cinema Club,spotify:artist:536BYVgOnRky0xjsPT96zl,2540070,indie; indie rock,70,What You Know; Undercover Martyn; Something Good Can Work; Sun; I Can Talk; Sleep Alone; Are We Ready? (Wreck); This Is the Life; Changing of the Seasons; Cigarettes in the Theatre
Cavetown,spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8,4441853,bedroom pop,70,Juliet; Devil Town; This Is Home; Boys Will Be Bugs; Home; Meteor Shower; Lemon Boy; Fool; Sweet Tooth; Talk to Me
Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu,989686,,70,"Safe and Sound; Kangaroo Court; One Minute More; Vowels; I Sold My Bed, But Not My Stereo; Stayin Alive; Swimming Pool Summer; Patience Gets Us Nowhere Fast; Farrah Fawcett Hair; Origami"
Bleachers,spotify:artist:2eam0iDomRHGBypaDQLwWI,899619,,70,"Margaret (feat. Bleachers); Rollercoaster; Merry Christmas, Please Don't Call; Don't Take The Money; Isimo; I Wanna Get Better; Modern Girl; Tiny Moves; Chinatown (feat. Bruce Springsteen); Wake Me"
WALK THE MOON,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,2235076,,70,Shut Up and Dance; Lost In The Wild; Anna Sun; One Foot; Work This Body; Shut Up and Dance - Live Acoustic - 2015; Ghostbusters; Avalanche; Kamikaze; Tightrope
Cults,spotify:artist:3Oim8XBPbznAa8Jj8QzNc8,1232069,,70,Always Forever; Gilded Lily; She Knows (feat. Amber Coffman & Cults); Gilded Lily - Sped Up; Bad Things; Monolithic; Gilded Lily - Slowed + Reverb; Go Outside; You Know What I Mean; TV Dream
The Kooks,spotify:artist:1GLtl8uqKmnyCWxHmw9tL4,2645751,indie; indie rock,70,Naive; She Moves In Her Own Way; Ooh La; Seaside; Junk Of The Heart (Happy); Always Where I Need To Be; Bad Habit; Sweet Emotion; Sway; Taking Pictures Of You
Father John Misty,spotify:artist:2kGBy2WHvF0VdZyqiVCkDT,951830,,70,Real Love Baby; Let The Light In (feat. Father John Misty); Nancy From Now On; Hollywood Forever Cemetery Sings; Chateau Lobby #4 (in C for Two Virgins); Goodbye Mr. Blue; Buddy's Rendezvous; I'm Writing a Novel; She Cleans Up; I Guess Time Just Makes Fools of Us All
070 Shake,spotify:artist:12Zk1DFhCbHY6v3xep2ZjI,677392,,70,Escapism.; Escapism. - Sped Up; Danielle (smile on my face); Guilty Conscience; SKY CITY; Honey; Guilty Conscience - Tame Impala Remix; Black Dress - Anyma Remix; Pour Your Heart Out (feat. 070 Shake); Glitter
