artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,83,23191321,progressive rock; psychedelic rock; classic rock; art rock; rock,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c
Elton John,3PhoLpVuITZKcymswpck5b,85,15933393,,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,https://i.scdn.co/image/ab6761610000e5eb0dc33a1c53bb58a84b45d6a7
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,86,31222351,classic rock; psychedelic rock,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,81,12030208,glam rock; art rock,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49
Djavan,5rrmaoBXZ7Jcs4Qb77j0YA,72,3870298,mpb,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA,https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,80,9125988,classic rock,https://open.spotify.com/artist/0WwSkZ7LtFUFjGjMZBMt6T,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393
Maria Bethânia,3f5VCwd57gZsqMad28jyLV,66,1556724,mpb; samba; bossa nova; axé,https://open.spotify.com/artist/3f5VCwd57gZsqMad28jyLV,https://i.scdn.co/image/ab6761610000e5eb6dd0de52c3b1a36a6400eb6d
Eagles,0ECwFtbIWEVNwjlrfc6xoL,79,12409310,classic rock; yacht rock; soft rock,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,https://i.scdn.co/image/ab6761610000e5eb0767e116a2307495e37cd7fb
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,78,16286126,classic rock; rock; hard rock; rock and roll,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,80,16007041,classic rock; rock,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8
Queen,1dfeR4HaWDbWqFHLkxsg1d,86,56063676,classic rock; rock; glam rock,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
AC/DC,711MCceyCBcFnzjGY4Q7Un,83,33040772,rock; hard rock; classic rock; rock and roll,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37
Os Paralamas Do Sucesso,7EM9m7HOXxVgP9oEpDDv70,67,2648682,brazilian rock; mpb; brazilian pop; latin rock; pop rock,https://open.spotify.com/artist/7EM9m7HOXxVgP9oEpDDv70,https://i.scdn.co/image/ab6761610000e5ebc379b4361bcfb87f5bd72808
Dona Ivone Lara,6Q1U3z1hge970f3QhrPKcW,52,306084,samba; pagode; mpb,https://open.spotify.com/artist/6Q1U3z1hge970f3QhrPKcW,https://i.scdn.co/image/ab6761610000e5eb8d93b488621e069fe23059b6
Rita Lee,7dnT2FUXhjirperXaH22IJ,66,1846527,mpb; brazilian rock,https://open.spotify.com/artist/7dnT2FUXhjirperXaH22IJ,https://i.scdn.co/image/ab6761610000e5eb4127fac942e5106e3c953c63
U2,51Blml2LZPmy7TTiAg47vQ,79,13808669,rock,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,https://i.scdn.co/image/ab6761610000e5ebe62be215d2ee31bcd97edaba
ANAVITÓRIA,1sPg5EHuQXTMElpZ4iUgXe,73,7536487,mpb; new mpb; brazilian pop,https://open.spotify.com/artist/1sPg5EHuQXTMElpZ4iUgXe,https://i.scdn.co/image/ab6761610000e5eb7bf0675e8644f27233931f91
Roberto Carlos,7fAKtXSdNInWAIf0jVUz65,71,7090376,mpb; brega; bolero,https://open.spotify.com/artist/7fAKtXSdNInWAIf0jVUz65,https://i.scdn.co/image/45e8967f18679d0a5791c7f647d9f7ab1bc20f3c
