artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Diego & Arnaldo,0CrGLmfVKzk9rAyiNb91ft,69,1565507,sertanejo; sertanejo universitário; agronejo,https://open.spotify.com/artist/0CrGLmfVKzk9rAyiNb91ft,https://i.scdn.co/image/ab6761610000e5eb6309cc0e5ea99333aaea57e8
Vitinho Imperador,6xrc4RXcso9uKlYWlIANPU,71,524227,piseiro; forró; arrocha; brega; sertanejo; seresta,https://open.spotify.com/artist/6xrc4RXcso9uKlYWlIANPU,https://i.scdn.co/image/ab6761610000e5eba0c3bb2b97ec26608f48c225
Natanzinho Lima,0Il5vC8lqunSFNav4mMLxU,82,2382656,arrocha; seresta; forró; brega; piseiro; sertanejo,https://open.spotify.com/artist/0Il5vC8lqunSFNav4mMLxU,https://i.scdn.co/image/ab6761610000e5eb2dd5f2f96e301dd661349efb
Rafa e Junior,583d9476xT4d6A0pADiRJg,67,31019,agronejo; sertanejo; sertanejo universitário,https://open.spotify.com/artist/583d9476xT4d6A0pADiRJg,https://i.scdn.co/image/ab6761610000e5ebd873414d0bf0434e73605a76
J. Eskine,4gKSUeHW82tGBeJsJSB1JC,68,572694,arrocha; piseiro; seresta; forró; brega,https://open.spotify.com/artist/4gKSUeHW82tGBeJsJSB1JC,https://i.scdn.co/image/ab6761610000e5eb9653ffe7a98520560297b350
Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,78,2671101,sertanejo; sertanejo universitário; arrocha; agronejo,https://open.spotify.com/artist/3hq7WoPJsrRP0KMSLhUgRz,https://i.scdn.co/image/ab6761610000e5ebf6ed128e9471e17bdf6f32b8
Mc Lele JP,1mV9h1AwhRXSjBFcYpajgY,83,1412047,brazilian funk; funk consciente; trap funk,https://open.spotify.com/artist/1mV9h1AwhRXSjBFcYpajgY,https://i.scdn.co/image/ab6761610000e5eb1b7a7e8385aa9130ae86e6b0
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,77,11093421,latin,https://open.spotify.com/artist/4V8Sr092TqfHkfAA5fXXqG,https://i.scdn.co/image/ab6761610000e5ebaea7377943d0c989fbef4bc7
Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,83,24745716,sertanejo; sertanejo universitário; arrocha; agronejo,https://open.spotify.com/artist/1elUiq4X7pxej6FRlrEzjM,https://i.scdn.co/image/ab6761610000e5ebcdef7b197f1add89019d6ad4
Matheus Vargas,61Y0yB7JKvkyHQ5g4Neirl,65,45276,sertanejo,https://open.spotify.com/artist/61Y0yB7JKvkyHQ5g4Neirl,https://i.scdn.co/image/ab6761610000e5eb49c626166131a3d0a049f53b
CountryBeat,5IREutgMnyQqRcc8r15gWk,76,310689,agronejo; sertanejo; sertanejo universitário,https://open.spotify.com/artist/5IREutgMnyQqRcc8r15gWk,https://i.scdn.co/image/ab6761610000e5eb46b69de40ca3c6732f3e46b2
Veigh,4YqwRbMLqGHRHLS1w2ZKse,79,6758318,brazilian trap; trap funk; trap; brazilian hip hop,https://open.spotify.com/artist/4YqwRbMLqGHRHLS1w2ZKse,https://i.scdn.co/image/ab6761610000e5ebfe8a6cb29ef8acc97e6bb3b1
Dj Guuh,58SW6CcsQsZthOpEf0KASk,60,23395,brazilian funk,https://open.spotify.com/artist/58SW6CcsQsZthOpEf0KASk,https://i.scdn.co/image/ab6761610000e5eba07bf1c14553d7fbfeb2dec4
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,87,31597146,sertanejo; sertanejo universitário; arrocha; agronejo,https://open.spotify.com/artist/3p7PcrEHaaKLJnPUGOtRlT,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601
