persona,track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
sofia,Mid backstabber,Camille Keller,Camille Keller,Lack of G-LIP,22,30,4063,,2025-04-09,2:10,False,https://open.spotify.com/track/1KDsZTr0sUfXSFSGnzJ4US,spotify:track:1KDsZTr0sUfXSFSGnzJ4US
sofia,Running to the Nearest Body of Water,Samba Jean-Baptiste,Samba Jean-Baptiste,Cardinal,22,40,9452,,2023-09-29,2:23,False,https://open.spotify.com/track/6PCIlrpzMMBAWuTzR0ieaF,spotify:track:6PCIlrpzMMBAWuTzR0ieaF
sofia,Pure Eternal Light,S.Maharba,S.Maharba,Pure Eternal Light,12,33,25494,plunderphonics,2022-10-29,2:26,False,https://open.spotify.com/track/2IeuUoN0stawpIkAz6EXnu,spotify:track:2IeuUoN0stawpIkAz6EXnu
sofia,Why Me,Joanne Robertson,Joanne Robertson,Blurrr,41,50,44569,,2025-09-19,5:34,False,https://open.spotify.com/track/3dXp7EwTDnQ72zdqH2oFOU,spotify:track:3dXp7EwTDnQ72zdqH2oFOU
sofia,2,Dean Blunt,Dean Blunt; Panda Bear,ZUSHI,45,68,498037,art pop,2020-03-27,2:39,False,https://open.spotify.com/track/7624z7UNlxS0ZcqgikQnRJ,spotify:track:7624z7UNlxS0ZcqgikQnRJ
sofia,S.I.T.W.S.M.,S.Maharba,S.Maharba,S.Maharba,36,33,25494,plunderphonics,2012-04-24,2:07,False,https://open.spotify.com/track/3TOCusZv7Kcsoop4HDgvfw,spotify:track:3TOCusZv7Kcsoop4HDgvfw
sofia,VIPER,Joanne Robertson,Joanne Robertson; Dean Blunt,WAHALLA,23,50,44569,,2017-05-08,1:01,False,https://open.spotify.com/track/6lsgswFrdP2BaYB1PWFMAN,spotify:track:6lsgswFrdP2BaYB1PWFMAN
sofia,G-LIP,Camille Keller,Camille Keller,Lack of G-LIP,30,30,4063,,2025-04-09,2:17,True,https://open.spotify.com/track/6F8GWMveksAfUHPjisf7MD,spotify:track:6F8GWMveksAfUHPjisf7MD
sofia,My First,Lee Ikari,Lee Ikari; BUFFIDOPTERA,World Ending Teenage Equation,33,30,1867,cloud rap; experimental hip hop,2024-10-08,2:19,True,https://open.spotify.com/track/0M1bHa7LACj5TIFli3ZEUj,spotify:track:0M1bHa7LACj5TIFli3ZEUj
sofia,FW2028,Camille Keller,Camille Keller,Lack of G-LIP,32,30,4063,,2025-04-09,2:24,True,https://open.spotify.com/track/7MY5PRhC8FzhgAIpCTpgTH,spotify:track:7MY5PRhC8FzhgAIpCTpgTH
sofia,The things you know,Eterna,Eterna,Ants,15,29,8660,,2025-06-04,2:41,False,https://open.spotify.com/track/0YxJm64uaBfxJQeCZVrzBo,spotify:track:0YxJm64uaBfxJQeCZVrzBo
sofia,Book One - Dibiase Remix,S.Maharba,S.Maharba; Dibiase,Remixed,3,33,25494,plunderphonics,2013-02-26,3:16,False,https://open.spotify.com/track/5FyDCxZTRncb9Mah6nbIeW,spotify:track:5FyDCxZTRncb9Mah6nbIeW
sofia,We Didnt Start the Fire (Was a Gift),Double Virgo,Double Virgo,Hardrive Heat Seeking,4,37,20126,shoegaze,2023-08-31,0:54,False,https://open.spotify.com/track/2myevrQAeaAtVQtAotjyHE,spotify:track:2myevrQAeaAtVQtAotjyHE
sofia,Back East,Camille Keller,Camille Keller,Lack of G-LIP,23,30,4063,,2025-04-09,2:29,False,https://open.spotify.com/track/5NL2bs3qb0MIR85yf9yWcF,spotify:track:5NL2bs3qb0MIR85yf9yWcF
sofia,Something Off,Camille Keller,Camille Keller,Lack of G-LIP,25,30,4063,,2025-04-09,2:06,True,https://open.spotify.com/track/0RsU6VBcfMdyTEGZ8tUnel,spotify:track:0RsU6VBcfMdyTEGZ8tUnel
sofia,that's honey,untitled (halo),untitled (halo),that's honey,34,34,14336,shoegaze,2024-08-14,3:43,False,https://open.spotify.com/track/61M8NiGTSJNy0kFnirktM3,spotify:track:61M8NiGTSJNy0kFnirktM3
sofia,Just a Scene,Ydegirl,Ydegirl,Ydegirl,6,33,8487,,2021-10-15,4:06,False,https://open.spotify.com/track/3rkWXucjAkaIPFABpxqgqV,spotify:track:3rkWXucjAkaIPFABpxqgqV
sofia,French Maid,S.Maharba,S.Maharba,S.Maharba,19,33,25494,plunderphonics,2012-04-24,2:28,False,https://open.spotify.com/track/1Kzj4FhLxUu3DMCQRuIfSf,spotify:track:1Kzj4FhLxUu3DMCQRuIfSf
sofia,Energy,Ydegirl,Ydegirl,Ydegirl,9,33,8487,,2021-10-15,4:32,False,https://open.spotify.com/track/11i3GDVb1hGPWrPSoZ5xGf,spotify:track:11i3GDVb1hGPWrPSoZ5xGf
sofia,I.R.S.,Michael Angelo,Michael Angelo,"""You Name It""",1,36,1266,,2011-07-20,4:11,False,https://open.spotify.com/track/2YPyLdJ5LA7WIGps3AT6mv,spotify:track:2YPyLdJ5LA7WIGps3AT6mv
sofia,Love Sick,Michael Angelo,Michael Angelo,Silly Little Game,0,36,1266,,1999-12-06,5:38,False,https://open.spotify.com/track/3s5QbDNfEK3dkEu1g0B8zM,spotify:track:3s5QbDNfEK3dkEu1g0B8zM
sofia,eggshell-freestyle.mp3,Samba Jean-Baptiste,Samba Jean-Baptiste,eggshell-freestyle.mp3,25,40,9452,,2025-08-04,1:05,False,https://open.spotify.com/track/6CuFVPWltg4hSrfcmEWhJM,spotify:track:6CuFVPWltg4hSrfcmEWhJM
sofia,ROAD_2_REDEMPTION,Dean Blunt,Dean Blunt,Roaches 2012-2019 (Deluxe Version),19,68,498037,art pop,2020-04-30,5:40,False,https://open.spotify.com/track/4XZSxXSftdhID2YwfK66j8,spotify:track:4XZSxXSftdhID2YwfK66j8
sofia,Get it,Camille Keller,Camille Keller,Get it,5,30,4063,,2023-12-13,2:14,False,https://open.spotify.com/track/49YwyQmRMMvANfZbQ34IfV,spotify:track:49YwyQmRMMvANfZbQ34IfV
sofia,finding god in the cut,untitled (halo),untitled (halo),headbanger,36,34,14336,shoegaze,2024-11-22,2:51,False,https://open.spotify.com/track/5jLZKqQtkjbnfYDjKz1b8s,spotify:track:5jLZKqQtkjbnfYDjKz1b8s
