track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Write Me A Letter,Oscar Lang,Oscar Lang,Chew The Scenery (Deluxe Edition),3,53,170771,bedroom pop,2021-09-24,2:42,False,https://open.spotify.com/track/4sDoAOoUknZDRJAlTt9ias,spotify:track:4sDoAOoUknZDRJAlTt9ias
Majorette,Beach House,Beach House,Thank Your Lucky Stars,34,72,2782795,dream pop,2015-10-16,4:00,False,https://open.spotify.com/track/3XqgZV1iCMWafjUHgDarIK,spotify:track:3XqgZV1iCMWafjUHgDarIK
ZEKKOU,NAKISO,NAKISO,ZEKKOU,31,53,167560,vocaloid,2023-11-07,1:53,False,https://open.spotify.com/track/7nlj9QwWHCmDPq89CkebOs,spotify:track:7nlj9QwWHCmDPq89CkebOs
Last Night on Earth,Palotree,Palotree,"A Love Enlightened, Everlasting Now",20,5,82,,2023-02-07,3:42,False,https://open.spotify.com/track/1mhsklOKKXL9MSwDrOjgWF,spotify:track:1mhsklOKKXL9MSwDrOjgWF
Halftime,Frank,Frank,Who You Are,0,23,1453,,2018-08-01,3:47,False,https://open.spotify.com/track/3nwVRycmIu12MRmeQhN6b1,spotify:track:3nwVRycmIu12MRmeQhN6b1
tongue~,Corbon Amodio,Corbon Amodio,tongue~,30,48,62974,,2025-10-03,1:57,False,https://open.spotify.com/track/139mQlFEetSmfGBQ6HUV6M,spotify:track:139mQlFEetSmfGBQ6HUV6M
Water the Roses,FLAVOR FOLEY,FLAVOR FOLEY,CARDIAC CONTREPOINT,43,58,86412,vocaloid,2025-02-13,4:27,False,https://open.spotify.com/track/6U5fy1R7XnyFE1KKyMRFSV,spotify:track:6U5fy1R7XnyFE1KKyMRFSV
claustrophobic,awfultune,awfultune,eden,18,51,378527,,2022-04-29,3:50,True,https://open.spotify.com/track/2EuFtwLmXNJco76okoOrYE,spotify:track:2EuFtwLmXNJco76okoOrYE
Sensory Overload - Naked,"Dream, Ivory","Dream, Ivory",About a Boy (Naked),9,64,505147,,2023-01-27,3:16,False,https://open.spotify.com/track/4AihIOAQ0Au1qafaW9gCSM,spotify:track:4AihIOAQ0Au1qafaW9gCSM
Big Sur,Frank,Frank,Dreams and Fears of the Outside,0,23,1453,,2021-04-23,4:28,False,https://open.spotify.com/track/4BJM3X7oTIiIu8zSdXEnR2,spotify:track:4BJM3X7oTIiIu8zSdXEnR2
"Alone at Home, Pt. 2",Frank,Frank,Who You Are,0,23,1453,,2018-08-01,2:39,False,https://open.spotify.com/track/6TgZzUkmPqa0q89600Bh5W,spotify:track:6TgZzUkmPqa0q89600Bh5W
Cafeteria,Frankie Cosmos,Frankie Cosmos,Vessel,12,55,342698,bedroom pop,2018-03-30,2:56,False,https://open.spotify.com/track/4RuIFALATIh3AwLapAjzXE,spotify:track:4RuIFALATIh3AwLapAjzXE
Empty Head,Frankie Cosmos,Frankie Cosmos,Inner World Peace,22,55,342698,bedroom pop,2022-10-21,5:13,False,https://open.spotify.com/track/54DjNRB4TFeXOpRMBJyNv3,spotify:track:54DjNRB4TFeXOpRMBJyNv3
haunted (melanie martinez cover),awfultune,awfultune,michael,14,51,378527,,2019-01-19,1:02,False,https://open.spotify.com/track/4qAQ1Ri5F1z90kDzsGOyHI,spotify:track:4qAQ1Ri5F1z90kDzsGOyHI
Retry Now,NAKISO,NAKISO,Retry Now,61,53,167560,vocaloid,2025-08-01,2:02,False,https://open.spotify.com/track/0EiXg3HzFQmt3c2pLDuaQN,spotify:track:0EiXg3HzFQmt3c2pLDuaQN
Orange,"Dream, Ivory","Dream, Ivory",When You Come Back I Have So Much To Tell You,29,64,505147,,2025-07-18,2:36,False,https://open.spotify.com/track/7drERjFFYA81h0rtIFMLqd,spotify:track:7drERjFFYA81h0rtIFMLqd
Magnetic Personality,Frankie Cosmos,Frankie Cosmos,Clean Weird Prone (Inner World Peace Deluxe),7,55,342698,bedroom pop,2023-04-25,1:39,False,https://open.spotify.com/track/2LRrHIqCRSB7t3tCiLgJTX,spotify:track:2LRrHIqCRSB7t3tCiLgJTX
Queen of Venus,FLAVOR FOLEY,FLAVOR FOLEY,Queen of Venus,32,58,86412,vocaloid,2025-02-02,4:27,True,https://open.spotify.com/track/7AJA9HBfpcZbLvVSTSdT7K,spotify:track:7AJA9HBfpcZbLvVSTSdT7K
sad love song,awfultune,awfultune,eden,22,51,378527,,2022-04-29,3:09,True,https://open.spotify.com/track/3ctV1kZnPstCcOfmrBDSDi,spotify:track:3ctV1kZnPstCcOfmrBDSDi
flutter~,Corbon Amodio,Corbon Amodio,flutter~,14,48,62974,,2025-05-02,2:02,False,https://open.spotify.com/track/02zTUJnYzY6vBM3kQ8RR5X,spotify:track:02zTUJnYzY6vBM3kQ8RR5X
cobra~,Corbon Amodio,Corbon Amodio,when the night ends,9,48,62974,,2025-07-11,1:40,False,https://open.spotify.com/track/0WUnY4BNTUaCdMe5LTdVgx,spotify:track:0WUnY4BNTUaCdMe5LTdVgx
Hello Out There,Frank,Frank; Seth Glickman; Victory Gardens,The Power,0,23,1453,,2024-06-21,3:40,False,https://open.spotify.com/track/3KfFG8LU8Fl1Nwh0dRgj4k,spotify:track:3KfFG8LU8Fl1Nwh0dRgj4k
baby~,Corbon Amodio,Corbon Amodio,when the night ends,15,48,62974,,2025-07-11,2:10,False,https://open.spotify.com/track/5f68WpGKfiH8orDe4xlac4,spotify:track:5f68WpGKfiH8orDe4xlac4
Drift Away Omnichord,Trillian,Trillian,Drift Away Omnichord,58,49,82718,,2021-08-12,3:13,False,https://open.spotify.com/track/0Dhe6vjPMRLFhmmEMT6OHs,spotify:track:0Dhe6vjPMRLFhmmEMT6OHs
fragile tears,awfultune,awfultune,michael,32,51,378527,,2019-01-19,3:46,False,https://open.spotify.com/track/7zsSnmFi009lIqSfprdTmP,spotify:track:7zsSnmFi009lIqSfprdTmP
Only You Know,Beach House,Beach House,Once Twice Melody,34,72,2782795,dream pop,2022-02-18,4:49,False,https://open.spotify.com/track/0H9ixDxX35aGRQPzxSpHRx,spotify:track:0H9ixDxX35aGRQPzxSpHRx
Vampire Boys,Trillian,Trillian,Vampire Boys,33,49,82718,,2021-10-31,3:48,False,https://open.spotify.com/track/2R41kFX8kM8wG9t1QZTHXW,spotify:track:2R41kFX8kM8wG9t1QZTHXW
10:37,Beach House,Beach House,Depression Cherry,37,72,2782795,dream pop,2015-08-28,3:48,False,https://open.spotify.com/track/2LuWYa6cXmNTctYITm0cUv,spotify:track:2LuWYa6cXmNTctYITm0cUv
Remember You Omnichord,Trillian,Trillian,Remember You Omnichord,55,49,82718,,2021-08-28,2:40,False,https://open.spotify.com/track/5lxCPxTa3KSBooC42pYzyu,spotify:track:5lxCPxTa3KSBooC42pYzyu
One More,Frank,Frank,The Power,8,23,1453,,2024-06-21,3:09,False,https://open.spotify.com/track/3MThfZr4iGN1NTVYYCaF5R,spotify:track:3MThfZr4iGN1NTVYYCaF5R
oranges,awfultune,awfultune,layla,7,51,378527,,2020-07-28,4:34,True,https://open.spotify.com/track/6E4dey70mxIbj1hMnMLPt8,spotify:track:6E4dey70mxIbj1hMnMLPt8
