name,uri,followers,genres,popularity,top_tracks
Felipe Amorim,spotify:artist:3CIIaeZuFYrAD6PRVyuO4U,3030406,piseiro; forró; arrocha; sertanejo; agronejo; brega,77,Eu Vou na Sua Casa; Amor Traumatizado; Coisas Que Eu Sei; Love Gostosinho - Ao Vivo; Cama Embrasa; Vou Passar Gelinho; Medley Canoa - Putaria no Escuro / Menina do Job / Escada do Prédio / Mal Caminho / Pede Que eu Te Dou; Medley Putaria 4.0: Socadão / Deixa Rolar / Golada No Jack / Braba No Chá; Novinha do TKT; É Hit - Ao Vivo
Humberto & Ronaldo,spotify:artist:1zEo6Fk1iaaOYFlFPBHCFn,1854100,sertanejo; sertanejo universitário; arrocha,76,12 Horas / Pra Você Acreditar - Ao Vivo; Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo; Decida / Seu Amor Ainda É Tudo - Ao Vivo; Romance - Ao Vivo; Tudo Que Vai / Tempo Perdido - Ao Vivo; Mtg Quero Te Encontrar; Duas Vezes Você / Nova York - Ao Vivo; Sensível Demais / É Isso Aí - Ao Vivo; Hoje Sonhei Com Você - Ao Vivo; Dois Loucos de Amor
DJ Japa NK,spotify:artist:1bpnl8qbR9GxmiNlkEufW6,200513,funk; brazilian funk; trap funk; funk consciente,76,Ta Rico Os Menino Do Gueto 🍀; Baile do Panta; Sexta Feira Hoje Tem; Medley de Igaratá 3; Comedinha Ficou Bravo; Vou pela Madrugada; Eu Até Gosto de Você; Te Levei Pro Beco; Nois não é Migo 2; Bbzão da Boca Inchada
Léo Foguete,spotify:artist:1DuBkL1pAgaZQHXKPiVr08,566954,forró; piseiro; sertanejo; arrocha; seresta; agronejo,75,Cópia Proibida; Última Noite - Solo; DONA - Ao Vivo; Última Noite; Quem de Nós Dois - Ao Vivo; Sem Você; Inconfiável; UM PALMO - Ao Vivo; Cabelo de Sol; É Hit - Ao Vivo
Felipe e Rodrigo,spotify:artist:7gZu6kPnY9enEi5FvgTO4F,470317,sertanejo; sertanejo universitário; agronejo,74,Caos De Alguém - Ao Vivo; Gosta De Rua - Ao Vivo; Melhor Me Bloquear - Ao Vivo; Pega O Beco - Ao Vivo; Oceano - Ao Vivo; Próximo Amor - Ao Vivo; Média Boa - Ao Vivo; Banquinho - Ao Vivo; Saudade Butequeira - Ao Vivo; Passo No Escuro - Ao Vivo
Guilherme & Benuto,spotify:artist:6m6e7D2TnV0aYMllFFwMxu,1922660,sertanejo; sertanejo universitário; agronejo; arrocha; piseiro,74,Grau de Maluca - Ao Vivo; Filho da Mãe - Ao Vivo; Manda um Oi - Ao Vivo; Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo; Sujeito Homem - Ao Vivo; Torre Eiffel - Ao Vivo; Duas Três; Assunto Delicado - Ao Vivo; Jogado Na Rua / Casa Amarela - Ao Vivo; 3 Batidas - Ao Vivo
Xand Avião,spotify:artist:43DRDu6nLSeIedZ7T1A616,3313791,forró; piseiro; sertanejo; arrocha; sertanejo universitário; brega,74,"Melzinho; Matadinha De Saudade - Ao Vivo; Que Pancada de Mulher; Sede de Te Amar / Timidez - Ao Vivo; O Rei das Vaquejadas / Não Sou Vaqueiro / É o Boi, o Cavalo e o Vaqueiro / Cavaleiro Alado - Ao Vivo; Nunca Mais - Ao Vivo; Balanço da Rede; Assunto Delicado - Ao Vivo; Declaração / Amor Covarde / Me Da Um Beijo / Passei A Noite No Forró - Ao Vivo; Basta Você Me Ligar - Ao Vivo"
DJ Dozabri,spotify:artist:06e0gXtUpvgPUZFrR2ywsg,63383,funk; brazilian funk,74,Tipo Nino Vs Kabrinha; Fica De Quatão; Tipo Nino Abravanel; Hoje Vai Ter Conflito; Dentro do I30; Tipo Nino Vs Kabrinha - Ultra Slowed; Fica De Quatão - Super Slowed; Tipo Ruyter Ligando pra Nada; Pega Essa Chapada; Fica De Quatão - Extreme Slowed
Mc Davi,spotify:artist:1cYhx7ZOhYoVmnDPb9KMwo,4044811,funk; brazilian funk; funk consciente; trap funk,74,"Mãe Solteira; Let's Go 4; Desacato; Set do G15 - A Revoada Começou; Set dos Casados; Pra Inveja É Tchau; Irmã Gostosa; Bonita, Lindinha e Sagaz; Coração Gelado 2; EU VOU COM CARINHO ELA QUER COM FORÇA"
DJ Biel Divulga,spotify:artist:4nWyeZK6CbH0eAQ5tRWf9o,27338,funk; brazilian funk,73,Tipo Nino Vs Kabrinha; Fica De Quatão; Tipo Nino Vs Kabrinha - Ultra Slowed; Fica De Quatão - Super Slowed; Tipo Ruyter Ligando pra Nada; Pega Essa Chapada; Eliza Sanches; Fica De Quatão - Extreme Slowed; Tipo Nino Vs Kabrinha - Mega Slowed; Fica De Quatão - Ultra Slowed
Mc Lekão,spotify:artist:19yiaMgl4Z5TFhUNp7R1JJ,13640,funk; brazilian funk,73,Tipo Nino Vs Kabrinha; Fica De Quatão; Tipo Nino Vs Kabrinha - Ultra Slowed; Fica De Quatão - Super Slowed; Tipo Ruyter Ligando pra Nada; Pega Essa Chapada; Famoso Machuca Xota; Fica De Quatão - Extreme Slowed; Tipo Nino Vs Kabrinha - Mega Slowed; Fica De Quatão - Ultra Slowed
