name,id,uri,followers,genres,popularity,top_tracks
MC Leozinho ZS,6VyttZwyEMGBl90oGdKCB8,spotify:artist:6VyttZwyEMGBl90oGdKCB8,850621,funk consciente; brazilian funk; trap funk,70,Vai Tomando Pock Pock; Chapa Máxima; Eu sou Cantor Não Sou Bandido; História de um Amigo Meu (Ao Vivo); Passa Na Pandora; Coração Gelado 2; Hit do Ano - O Peso da Luta; Jogado pelo Mundão; Coração Gelado 3; Coração Gelado
BIN,1WXbiUMl1AT9Inb619xPUg,spotify:artist:1WXbiUMl1AT9Inb619xPUg,2182978,brazilian trap; brazilian hip hop; trap funk; trap,70,Eu Vou na Sua Casa; Champagne; Poesia Acústica #12 Pra Sempre; Saturno; Marília Mendonça; Carro Forte; Apê 1001; Quase uma Semana; Dior; Penelope
Galdino,0WvTL8PecsD3VxRGuHdSxj,spotify:artist:0WvTL8PecsD3VxRGuHdSxj,17964,brazilian trap; trap funk; trap; brazilian hip hop,70,Não Me Provoca; CONFUNDE A MENTE 🧠; TEMPO PASSA ⏳; Só Você; MINHA CURA; Cê Deve Tá Linda; Ai Calica; Eu Fiz o Jogo Virar; Sob a luz do seu olhar; XT 2
Diego & Arnaldo,0CrGLmfVKzk9rAyiNb91ft,spotify:artist:0CrGLmfVKzk9rAyiNb91ft,1555966,sertanejo; sertanejo universitário; agronejo,69,Vai Cair Água - Ao Vivo; Cadeira Amarela - Ao Vivo; Fala Comigo (Alô) / Onde Anda Meu Amor - Ao Vivo; Último Adeus / Blusa Vermelha - Ao Vivo; Desconhecido - Ao Vivo; Relógio Parado (Ao Vivo); De Igual Para Igual - Ao Vivo; Sofri em Dobro; Saudade / Desejo de Amar - Ao Vivo; Receita de Amar / O Amor Não é Paixão - Ao Vivo
Dj Andrabeat,1Zg9Zp2NMNIBUiazqAHr1C,spotify:artist:1Zg9Zp2NMNIBUiazqAHr1C,11129,brazilian funk; trap funk,69,ME POSTOU NO DAILY - FESTA DO BIG G; Quis Pagar Pra Ver (feat. DJ Japa NK); Fofoqueiro Eu Sei Que É Mato; Teimosa; Eu Não Sou Bombeiro; Motel Movel; Arrocha Italiano; Só no Útero Dela; É Migo ou Vida?; Com Ciúmes e Mais Caro
Honaiser,0PNcEYeVDBqbywI00Y3ANT,spotify:artist:0PNcEYeVDBqbywI00Y3ANT,22856,brazilian trap; trap funk; trap,69,RELAÇÃO 👩‍❤️‍👨; Melhor Agora; Devolve as Correntes / Invisível; Hora Errada; Tendenciosa; UM ERRO; Seja Bem-Vinda; CAOS; 6AM NA COHAB - interlúdio; NÃO VAI ME AMAR
J. Eskine,4gKSUeHW82tGBeJsJSB1JC,spotify:artist:4gKSUeHW82tGBeJsJSB1JC,555656,arrocha; piseiro; seresta; forró; brega,69,AMOR BANDIDO; Mãe Solteira; Resenha do Arrocha; Resenha do Arrocha 4.0; Engajamento - Ao Vivo; Resenha de Ex-Love; Nosso Amor; Resenha do Arrocha 3.0; Tadala - Ao Vivo; Resenha do Arrocha 2.0
Cleber & Cauan,6Y8pfJkEdw4EAST4g9C026,spotify:artist:6Y8pfJkEdw4EAST4g9C026,1877467,sertanejo; sertanejo universitário; agronejo,68,Desocupa; Até Ficar Velhin - Ao Vivo; Sonho - Ao Vivo; Foguinho - Ao Vivo; Só Pensando Em Você / Meu Disfarce - Ao Vivo; A Rua é Sua - Ao Vivo; Amor Sem Juízo / Machuca Demais - Ao Vivo; Quase - Ao Vivo; Essa é Você Sem Beber; Castigando
MC PR,0Vxqvpm9tpZcz6d4egDtjX,spotify:artist:0Vxqvpm9tpZcz6d4egDtjX,83502,brega funk; phonk; brazilian phonk; brazilian funk,68,"X-TALI; Senta pra Traficante; SEQUÊNCIA POMPEROM; Automotivo Catucada 1.0 (Super Slowed); RITMO DE TREINO; X-TALI (SUPER SLOWED); Sequencia do Repete; X-TALI (SLOWED); Grande, Grosso e Macio; Tuf Tuf Pof Pof"
Vitão,06lnOkY99sXVW44Y0M4BDP,spotify:artist:06lnOkY99sXVW44Y0M4BDP,902346,brazilian pop; brazilian hip hop,68,Eu Vou na Sua Casa; Poesia Acústica #7 Céu Azul; Flores; Penelope; Sei Lá; Embrasa; Café; Cobertor - Remix; Complicado; Te Liguei
Malibu,0PMk31f9Log4ixwUUY40p6,spotify:artist:0PMk31f9Log4ixwUUY40p6,214959,pagode; brazilian pop,68,Eu Vou na Sua Casa; Cigana; Não Vai Embora; Minha Arte; Penelope; MTG EU VOU NA SUA CASA; Algoritmo Íntimo; Pura Ilusão; Saudade de Falar de Amor; Corda Bamba
