name,uri,followers,genres,popularity,top_tracks
Ícaro e Gilmar,spotify:artist:6Wlvsn3IPHiZwAv02lB5eC,803300,sertanejo; sertanejo universitário; agronejo; sertanejo tradicional,79,Baqueado - Ao Vivo; 12 Horas / Pra Você Acreditar - Ao Vivo; Voltável - Ao Vivo; Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo; Agora / Um Sonho Louco / Não Posso Ter Medo de Amar - Ao Vivo; Decida / Seu Amor Ainda É Tudo - Ao Vivo; Tudo Que Vai / Tempo Perdido - Ao Vivo; Sensível Demais / É Isso Aí - Ao Vivo; Duas Vezes Você / Nova York - Ao Vivo; 24 Horas de Amor / Só Dá Você na Minha Vida / Pense em Mim / Talismã (Ao Vivo)
MJ Records,spotify:artist:0oAZhL6hFrM3YRr6QzjlOf,35013,sertanejo; sertanejo universitário,79,Baqueado - Ao Vivo; Má Influência - Ao Vivo; Nos Bares da Cidade / Sem Direção - Ao Vivo; Um Dia Te Levo Comigo / Do Brasil à Argentina - Ao Vivo; Eu Te Seguro - Ao Vivo; Castigo / Mil Anos - Ao Vivo; Nem Dormindo Consigo Te Esquecer / Mil Corações - Ao Vivo; Frente a Frente / Só Pensando em Você - Ao Vivo; Fica Comigo / Mensagem pra Ela - Ao Vivo; Onde Anda Meu Amor / A Culpa É Sua - Ao Vivo
Murilo Huff,spotify:artist:3hq7WoPJsrRP0KMSLhUgRz,2434006,sertanejo; sertanejo universitário; arrocha; agronejo,79,Veneno - Ao Vivo; Deixa Eu - Ao Vivo; Mulher Sem Ciúme - Ao Vivo; Dois Enganados; Já Vai Sabendo - Ao Vivo; Me Ama Consciente - Ao Vivo; ACHOU QUE EU IA SER TROUXA - Ao Vivo; Peça Íntima; Anestesiado - Ao Vivo; Camisa de Força - Ao Vivo
Ferrugem,spotify:artist:5ZfBThYiIIhL7jHMG8gDB2,6250373,pagode; samba,79,Apaguei Pra Todos - Ao Vivo; Apagar (Fundo Raso); Duvido - Ao Vivo; Me Bloqueia (Ao Vivo); Ela - Ao Vivo; Eu não sou de me entregar; Pra você acreditar - Ao vivo; Sinais - Ao Vivo; Sinto sua falta - Ao vivo; Pirata e tesouro - Ao vivo
Mc Negão Original,spotify:artist:4LHTgACY32k94VDjenF0nP,1197978,brazilian funk; trap funk; funk consciente,79,Vou pela Madrugada; Ta Rico Os Menino Do Gueto 🍀; Pirocada Quente; Eu Até Gosto de Você; Comedinha Ficou Bravo; Medley de Igaratá 3; Boy Besta; Contagem Regressiva; Set Dj Gm 6.0; Medley de Igaratá 6
Felipe Amorim,spotify:artist:3CIIaeZuFYrAD6PRVyuO4U,3146143,piseiro; forró; arrocha; sertanejo; agronejo; brega,78,Eu Vou na Sua Casa; Amor Traumatizado; Medley Muído de Vaquejada - Desce do Cavalo / Balada do Vaqueiro / Monta Logo Vai / Calma / Senta No Fazendeiro / Deixa Ela Montar Na Minha Garupa / Botadão Do GW; Cama Embrasa; Coisas Que Eu Sei; Love Gostosinho - Ao Vivo; Ela Quer Sentar Pros Maloka; DENTRO DA LAND ROVER - Ao Vivo; Vou Passar Gelinho; Medley Canoa - Putaria no Escuro / Menina do Job / Escada do Prédio / Mal Caminho / Pede Que eu Te Dou
Lauana Prado,spotify:artist:6TYimByryGphZCtwYopH0y,5777962,sertanejo; sertanejo universitário,78,Saudade Burra - Ao Vivo; Camisola e Fio - Ao Vivo; Kamasutra - Ao Vivo; Haverá Sinais - Ao Vivo; Fetiche - Ao Vivo; Cobaia; Whisky Vagabund0 - Ao Vivo; Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo; Par De Olhos - Ao Vivo; Sombra Desconhecida - Ao Vivo
Wesley Safadão,spotify:artist:1AL2GKpmRrKXkYIcASuRFa,12238436,forró; sertanejo; piseiro; arrocha; sertanejo universitário; brega; seresta,78,Mentira Estampada; Mentirosa - Ao Vivo; Fazer Amor é Diferente de Amar - Ao Vivo; Laranjinha; Seis Cordas / Baião de Dois / Cavalo Lampião - Ao Vivo; DNA do Mato; Quatro Semanas de Amor / Não Me Julgue / Do Meu Jeito - Ao Vivo; Diga Sim pra Mim; Bipolar; Sede de Te Amar / Timidez - Ao Vivo
Sorriso Maroto,spotify:artist:1fUSLFr4WUBx7joEcGwpvG,3805991,pagode; samba,78,Apaguei Pra Todos - Ao Vivo; Fica com Deus - Ao Vivo; Ela - Ao Vivo; Sinais - Ao Vivo; Como Nunca Amei Ninguém / Por Tão Pouco - Ao Vivo; Ainda Gosto de Você / Já Era - Ao Vivo; 80 Anos - Ao Vivo; Me Olha Nos Olhos / Futuro Prometido / Não Tem Perdão - Ao Vivo; Pequenos Detalhes - Ao Vivo; Promessas - Ao Vivo
Mc Jhey,spotify:artist:34giN3qeTOdgDSJIdtIMdm,505114,phonk; brazilian funk; brazilian phonk,77,"MONTAGEM BAILÃO; SEQUÊNCIA FEITICEIRA; Nada Nada; Predador de Perereca; Nada Nada - Super Slowed; MONTAGEM BAILÃO - Slowed; SEM FRESCURA SEM PIRRACA, SEM MIMIMI; Nada Nada - Slowed; Ela é Profissional; MONTAGEM BAILÃO - Ultra Slowed"
NATTAN,spotify:artist:1SXhEXzOTF7YeuQX59m7pT,3729432,piseiro; forró; sertanejo; arrocha; brega; seresta,77,Pela Última Vez - Ao Vivo; Última Noite; Desapaixona Eu - Ao Vivo; Ama Ou Não Ama; Andar de Baixo - Ao Vivo; Love Gostosinho - Ao Vivo; Morena; DNA do Mato; Medley Canoa - Putaria no Escuro / Menina do Job / Escada do Prédio / Mal Caminho / Pede Que eu Te Dou; Eu Vou Sentar - Ao Vivo em São Paulo
MC Meno K,spotify:artist:1CbQrKvCpEnekM3QMGJtXK,254011,brazilian funk; funk carioca; brega funk,77,FAMOSINHA; Comedinha Ficou Bravo; Posso Até Não Te Dar Flores; CAVALINHO; Procedimento da Casa; Bebê se tu passar no teste; SEQUÊNCIA COLOCADÃO; THE BOX MEDLEY FUNK 4; Só Porque Eu Tenho Din; Vai Com Bundão
Luan Pereira,spotify:artist:5kVgcCdPbeUwxBqWxi2Ktl,3294135,agronejo; sertanejo; sertanejo universitário; piseiro,77,Vacilona - Ao Vivo; VOCÊ E SUA AMIGUINHA - Ao Vivo; NÃO ERA LOVE; Saveiro; Body Splash - Ao Vivo; ACHOU QUE EU IA SER TROUXA - Ao Vivo; APOSTAR EM VOCÊ - Ao Vivo; Em Cima do Peão; DENTRO DA LAND ROVER - Ao Vivo; Wi-Fi - Ao Vivo
DJ Japa NK,spotify:artist:1bpnl8qbR9GxmiNlkEufW6,243804,brazilian funk; trap funk; funk consciente,77,Vou pela Madrugada; Ta Rico Os Menino Do Gueto 🍀; Valentino; Sexta Feira Hoje Tem; Eu Até Gosto de Você; Comedinha Ficou Bravo; Medley de Igaratá 3; Baile do Panta; Posso Até Não Te Dar Flores; Nois não é Migo 2
Léo Foguete,spotify:artist:1DuBkL1pAgaZQHXKPiVr08,632577,forró; piseiro; sertanejo; arrocha; seresta; agronejo,76,Cópia Proibida; Última Noite - Solo; Última Noite; DONA - Ao Vivo; Beijo Beija-Flor; Sem Você; Acertada; Quem de Nós Dois - Ao Vivo; Inconfiável; Humilde
