track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Sap Green,Casiio,Casiio; Sling Dilly,Sap Green,52,65,18748,lo-fi hip hop; lo-fi; lo-fi beats,2024-04-12,1:41,False,https://open.spotify.com/track/7uaFkXXFrkRUFRXnhnsqnn,spotify:track:7uaFkXXFrkRUFRXnhnsqnn
clockwork dreams,Tonion,Tonion; Hoffy Beats,clockwork dreams,45,49,2863,lo-fi; lo-fi beats; lo-fi hip hop,2024-05-17,2:51,False,https://open.spotify.com/track/4yc2GdYpTszeaA1Dhqltwd,spotify:track:4yc2GdYpTszeaA1Dhqltwd
sTr4nG3r5.vsn0,Bring Me The Horizon,Bring Me The Horizon; Dimension 32,Lo-files,50,81,6588172,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:05,False,https://open.spotify.com/track/5OjkJMfEVBAVgoYshwZuRt,spotify:track:5OjkJMfEVBAVgoYshwZuRt
Shadows,Pastel Ghost,Pastel Ghost,Abyss,65,67,925502,witch house; darkwave,2015-03-10,3:28,False,https://open.spotify.com/track/3vtFowc9zcQfvqsLAZ9Cx2,spotify:track:3vtFowc9zcQfvqsLAZ9Cx2
Tonight You Belong To Me,Patience & Prudence,Patience & Prudence,The Best Of Patience & Prudence,62,50,31597,adult standards,2004-03-09,1:55,False,https://open.spotify.com/track/77MHOLfTVDlhcX0yDr23Uu,spotify:track:77MHOLfTVDlhcX0yDr23Uu
Toutatis,Cosmic Koala,Cosmic Koala; Lucid Keys,The Tale of the Druids,53,50,2700,lo-fi,2022-12-05,2:28,False,https://open.spotify.com/track/4uGmO9fJT72fVDU6rxU2n7,spotify:track:4uGmO9fJT72fVDU6rxU2n7
Aetheris,Edge Of The Spiral,Edge Of The Spiral,Aetheris,47,46,340,,2024-05-31,2:58,False,https://open.spotify.com/track/3qW4n7ZcKKdby0Hyp0tVma,spotify:track:3qW4n7ZcKKdby0Hyp0tVma
Sweet Meetings,Cosmic Koala,Cosmic Koala; Dimension 32; Lucid Keys,Beautiful Days,49,50,2700,lo-fi,2022-11-10,2:31,False,https://open.spotify.com/track/7vWU7z6GAbJuQgsVSriod9,spotify:track:7vWU7z6GAbJuQgsVSriod9
Reminiscence.,XiiiDolor,XiiiDolor,Reminiscence.,30,33,10930,,2020-06-19,2:41,True,https://open.spotify.com/track/32xRvHd8a63H3SEOxkZrPR,spotify:track:32xRvHd8a63H3SEOxkZrPR
seenitallbefore_xx.arch,Bring Me The Horizon,Bring Me The Horizon; Kanisan,Lo-files,52,81,6588172,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:28,False,https://open.spotify.com/track/7nlMB8nDWH3pOFTxxwgfBm,spotify:track:7nlMB8nDWH3pOFTxxwgfBm
