track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Gun scene / Your camelot,Deer park,Deer park,Gun scene,,,,,2023-11-17,4:17,False,https://open.spotify.com/track/7GPNmxGMrPOukgD9s5uucJ,spotify:track:7GPNmxGMrPOukgD9s5uucJ,38572,465721,dream pop; indie rock; water; Played a WagonWheel show at The Grapes,US,United States,rock; alternative rock; industrial rock; metal; american,100,1996,,Group,,1163,4144,,lastfm
don't hold it all in,jaso,jaso,"Access, Release! (Room Recording)",,,,,2025-03-28,3:39,True,https://open.spotify.com/track/3gmSd38M3oEHLoGC2uroNd,spotify:track:3gmSd38M3oEHLoGC2uroNd,5526,55863,,,,,100,,,,,269,792,,lastfm+mb
Smalley,Yorck Street,Yorck Street,My Small Piano,,,,,2025-09-04,1:34,False,https://open.spotify.com/track/6u9kyUTgrLI0PWl3AGEedl,spotify:track:6u9kyUTgrLI0PWl3AGEedl,2437,31985,,US,United States,rock; singer-songwriter; pop rock; heartland rock,100,1972,,Group,,625,2702,,lastfm+mb
Rockland County,Car Culture,Car Culture; Physical Therapy,Rest Here,,,,,2025-10-09,3:15,False,https://open.spotify.com/track/7yGUF2zL1TrLvxzXXZj1AJ,spotify:track:7yGUF2zL1TrLvxzXXZj1AJ,31815,226660,ambient; Leftfield; downtempo; Canadian; montreal,JM,Jamaica,reggae; dub; roots reggae; soul and reggae,100,1976,,Group,,4690,10844,,lastfm+mb
Fiu,ari,ari; Forma Norte,Rock Bag,,,,,2025-10-21,2:23,False,https://open.spotify.com/track/4C8EbXURrTHQfuE5AeCJmg,spotify:track:4C8EbXURrTHQfuE5AeCJmg,164038,1552474,rap; hardcore; psytrance; trance; Progressive metal,FI,Finland,vgm; video game music,100,1982,,Person,male,1744,4136,,lastfm+mb
Otter,Blessed and blushing,Blessed and blushing,Blue Memory Box,,,,,2021-10-07,2:24,False,https://open.spotify.com/track/7983hajbWvQB5QaYEUrRyn,spotify:track:7983hajbWvQB5QaYEUrRyn,47300,253705,france; AI Generated,,Paris,,100,,,,,1757,3985,,lastfm+mb
Wings For Sale,Mike Midnight,Mike Midnight,Angel Hours,,,,,2022-11-11,3:22,False,https://open.spotify.com/track/5WGUsL1YcrbYIkUeVVDd3J,spotify:track:5WGUsL1YcrbYIkUeVVDd3J,29997,148094,australia; grimewave,AU,Australia,new wave; australien; australian; big music; post-punk,100,1976,,Group,,2990,7365,,lastfm+mb
Kittens,Deer park,Deer park,Kittens,,,,,2024-09-06,2:35,True,https://open.spotify.com/track/2tucEWU8FocpLyBOoOEBQc,spotify:track:2tucEWU8FocpLyBOoOEBQc,38572,465721,dream pop; indie rock; water; Played a WagonWheel show at The Grapes,US,United States,rock; alternative rock; industrial rock; metal; american,100,1996,,Group,,4071,14999,,lastfm
Highbury Grunge,Eterna,Eterna,Debunker,,,,,2025-01-31,3:24,False,https://open.spotify.com/track/7pn51H2QBEHISQHgKkuTdO,spotify:track:7pn51H2QBEHISQHgKkuTdO,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,3931,10791,,lastfm+mb
Red,Mori Mori,Mori Mori,BB Void,,,,,2024-10-24,3:18,False,https://open.spotify.com/track/0LaYKKsGKY7IcjGGrKRaJQ,spotify:track:0LaYKKsGKY7IcjGGrKRaJQ,32369,243029,experimental; ambient; noise; electronic; drone,,,,100,,,Person,,25151,87725,,lastfm+mb
When It's Easier,A Good Year,A Good Year,Sofina (Soundtrack),,,,,2024-03-06,3:11,False,https://open.spotify.com/track/6dcvSbeRmXQIsizu1BF0xR,spotify:track:6dcvSbeRmXQIsizu1BF0xR,62653,325634,electronic; ambient; french; indie; Soundtrack,,Copenhagen,,100,,,Person,,1233,1993,,lastfm
G major,Josephine Moriko,Josephine Moriko,G major,,,,,2023-06-09,3:34,False,https://open.spotify.com/track/6TUyBi3uBJKK4XkAHJ1LnK,spotify:track:6TUyBi3uBJKK4XkAHJ1LnK,2194,10808,ambient; electronic; downtempo; Sweden,,,,100,,,Person,,1144,4177,,lastfm+mb
21 insecurities,500,500,21 insecurities,,,,,2023-10-11,3:05,False,https://open.spotify.com/track/7dVmclFw8bSqjBfwZANhFp,spotify:track:7dVmclFw8bSqjBfwZANhFp,21219,185101,ambient; scotland; mashup; ambient trance; Nightcore,US,United States,shoegaze; indie rock; indie; alternative; indie pop,100,1987,1991,Group,,10627,31442,,lastfm+mb
