track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Dancing In the Dark,Bruce Springsteen,Bruce Springsteen,Born In The U.S.A.,,,,,1984-06-04,4:05,False,https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE,spotify:track:7FwBtcecmlpc1sLySPXeGE
Highway Star - Remastered 2012,Deep Purple,Deep Purple,Machine Head (Remastered),,,,,1972-03-25,6:06,False,https://open.spotify.com/track/3uMmllZo1AfoEnVT4ENCD3,spotify:track:3uMmllZo1AfoEnVT4ENCD3
Don't Stand So Close To Me,The Police,The Police,Zenyatta Mondatta (Remastered 2003),,,,,1980-10-03,4:02,False,https://open.spotify.com/track/5veJDT0MLsLbhYsx42GXUD,spotify:track:5veJDT0MLsLbhYsx42GXUD
Killer Queen - Remastered 2011,Queen,Queen,Sheer Heart Attack (Deluxe Edition 2011 Remaster),,,,,1974-11-08,2:59,False,https://open.spotify.com/track/4cIPLtg1avt2Jm3ne9S1zy,spotify:track:4cIPLtg1avt2Jm3ne9S1zy
Behind Blue Eyes - Remastered 2022,The Who,The Who,Who's Next (Remastered 2022),,,,,1971-08-14,3:42,False,https://open.spotify.com/track/0FMaUU0k9ObHtnUVr304k0,spotify:track:0FMaUU0k9ObHtnUVr304k0
Under My Thumb,The Rolling Stones,The Rolling Stones,Aftermath,,,,,1966-04-15,3:41,False,https://open.spotify.com/track/5lmGgOaixbwKHtpTzjJoqx,spotify:track:5lmGgOaixbwKHtpTzjJoqx
Have A Nice Day,Bon Jovi,Bon Jovi,Have A Nice Day,,,,,2005-01-01,3:49,False,https://open.spotify.com/track/06Zz2l7cVTCTgCNDe1bnEF,spotify:track:06Zz2l7cVTCTgCNDe1bnEF
Still Loving You,Scorpions,Scorpions,Comeblack,,,,,2011-11-07,6:43,False,https://open.spotify.com/track/0RdUX4WE0fO30VnlUbDVL6,spotify:track:0RdUX4WE0fO30VnlUbDVL6
Changes - 2015 Remaster,David Bowie,David Bowie,Hunky Dory (2015 Remaster),,,,,1971-12-17,3:37,False,https://open.spotify.com/track/0LrwgdLsFaWh9VXIjBRe8t,spotify:track:0LrwgdLsFaWh9VXIjBRe8t
Dude (Looks Like A Lady),Aerosmith,Aerosmith,Permanent Vacation,,,,,1987-01-01,4:25,False,https://open.spotify.com/track/6gQUbFwwdYXlKdmqRoWKJe,spotify:track:6gQUbFwwdYXlKdmqRoWKJe
We Will Rock You - Remastered 2011,Queen,Queen,News Of The World (2011 Remaster),,,,,1977-10-28,2:02,False,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,spotify:track:4pbJqGIASGPr0ZpGpnWkDn
Rebel Yell,Billy Idol,Billy Idol,Rebel Yell,,,,,1983-11-01,4:48,False,https://open.spotify.com/track/4TIJ7zSBNejpoIPaWpWRKc,spotify:track:4TIJ7zSBNejpoIPaWpWRKc
Love Is Strong - Remastered 2009,The Rolling Stones,The Rolling Stones,Voodoo Lounge (Remastered 2009),,,,,1994-07-11,3:48,False,https://open.spotify.com/track/3Is1ugfPG3hdFWTq15nNBV,spotify:track:3Is1ugfPG3hdFWTq15nNBV
The Rain Song - Remaster,Led Zeppelin,Led Zeppelin,Houses of the Holy (Remaster),,,,,1973-03-28,7:39,False,https://open.spotify.com/track/3JLrri1xSCui3bzITDJbkk,spotify:track:3JLrri1xSCui3bzITDJbkk
Under the Bridge,Red Hot Chili Peppers,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),,,,,1991-09-24,4:24,False,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Psycho Killer,Talking Heads,Talking Heads,Talking Heads '77,,,,,1977-09-16,4:20,False,https://open.spotify.com/track/7dSCxR4LqkmxoBrq9MzVSD,spotify:track:7dSCxR4LqkmxoBrq9MzVSD
Roadhouse Blues,The Doors,The Doors,Morrison Hotel,,,,,1970-02-09,4:03,False,https://open.spotify.com/track/1Q5kgpp4pmyGqPwNBzkSrw,spotify:track:1Q5kgpp4pmyGqPwNBzkSrw
Tom Sawyer,Rush,Rush,Moving Pictures (2011 Remaster),,,,,1981-02-12,4:36,False,https://open.spotify.com/track/3QZ7uX97s82HFYSmQUAN1D,spotify:track:3QZ7uX97s82HFYSmQUAN1D
Ziggy Stardust - 2012 Remaster,David Bowie,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),,,,,1972-06-06,3:13,False,https://open.spotify.com/track/5IyL3XOaRPpTgxVjRIAxXU,spotify:track:5IyL3XOaRPpTgxVjRIAxXU
Bad To The Bone,George Thorogood & The Destroyers,George Thorogood & The Destroyers,BAD TO THE BONE,,,,,1982-01-01,4:52,False,https://open.spotify.com/track/6s0NHplywwr1IjnQpUpWJk,spotify:track:6s0NHplywwr1IjnQpUpWJk
Heartbreaker - 1990 Remaster,Led Zeppelin,Led Zeppelin,Led Zeppelin II (1994 Remaster),,,,,1969-10-22,4:14,False,https://open.spotify.com/track/6WE7jSshLCuVKoCmobVKVf,spotify:track:6WE7jSshLCuVKoCmobVKVf
Crazy Train,Ozzy Osbourne,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),,,,,2020-09-18,4:53,False,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,spotify:track:7ACxUo21jtTHzy7ZEV56vU
Oh! Darling - Remastered 2009,The Beatles,The Beatles,Abbey Road (Remastered),,,,,1969-09-26,3:27,False,https://open.spotify.com/track/2mxByJWOajjiVsLWjNXvDJ,spotify:track:2mxByJWOajjiVsLWjNXvDJ
Lady Writer,Dire Straits,Dire Straits,Communiqué,,,,,1979-06-15,3:44,False,https://open.spotify.com/track/2RBcYkonAofm0rYycVrCGt,spotify:track:2RBcYkonAofm0rYycVrCGt
Dreams - 2004 Remaster,Fleetwood Mac,Fleetwood Mac,Rumours (Super Deluxe),,,,,1977-02-04,4:17,False,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz
Don't You (Forget About Me),Simple Minds,Simple Minds,Once Upon A Time,,,,,2025-01-27,4:21,False,https://open.spotify.com/track/5Y8Rj0s6wuM5DlQdllYiWl,spotify:track:5Y8Rj0s6wuM5DlQdllYiWl
Don't Dream It's Over,Crowded House,Crowded House,Crowded House,,,,,1986-01-01,3:56,False,https://open.spotify.com/track/7G7tgVYORlDuVprcYHuFJh,spotify:track:7G7tgVYORlDuVprcYHuFJh
Let It Be - Remastered 2009,The Beatles,The Beatles,Let It Be (Remastered),,,,,1970-05-08,4:03,False,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,spotify:track:7iN1s7xHE4ifF5povM6A48
Born To Be Wild - Single Version,Steppenwolf,Steppenwolf,Steppenwolf,,,,,1968-01-01,3:32,False,https://open.spotify.com/track/3lN8PP6R2IxbLP05QpYXng,spotify:track:3lN8PP6R2IxbLP05QpYXng
You Got It,Roy Orbison,Roy Orbison,Mystery Girl,,,,,1989,3:30,False,https://open.spotify.com/track/6r20M5DWYdIoCDmDViBxuz,spotify:track:6r20M5DWYdIoCDmDViBxuz
Shiny Happy People,R.E.M.,R.E.M.,Out Of Time (25th Anniversary Edition),,,,,1991-03-12,3:45,False,https://open.spotify.com/track/1v2zyAJrChw5JnfafSkwkJ,spotify:track:1v2zyAJrChw5JnfafSkwkJ
Where The Streets Have No Name - Remastered,U2,U2,The Joshua Tree,,,,,1987-03-10,5:36,False,https://open.spotify.com/track/7h1YqA5MZrRxmkUFpukRcp,spotify:track:7h1YqA5MZrRxmkUFpukRcp
