track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Last Last,Burna Boy,Burna Boy,"Love, Damini",70,82,15184969,afrobeats; afrobeat; afropop; afroswing; dancehall; afropiano,2022-07-06,2:52,False,https://open.spotify.com/track/57DarSfRMIVRCeDBGW0l5S,spotify:track:57DarSfRMIVRCeDBGW0l5S,820307,24040973,rap; Hip-Hop; nigeria; afrobeats; nigerian,NG,Nigeria,reggae; afrobeat; english; dancehall; afrobeats,100,1991,,Person,male,249730,2483631,,lastfm+mb
On the Low,Burna Boy,Burna Boy,African Giant,70,82,15184969,afrobeats; afrobeat; afropop; afroswing; dancehall; afropiano,2019-07-24,3:05,False,https://open.spotify.com/track/1zIk8RJEKGvoH4FioFnGyJ,spotify:track:1zIk8RJEKGvoH4FioFnGyJ,820307,24040973,rap; Hip-Hop; nigeria; afrobeats; nigerian,NG,Nigeria,reggae; afrobeat; english; dancehall; afrobeats,100,1991,,Person,male,146384,1295505,,lastfm+mb
Amantes da Foda,Mc Rodrigo do CN,Mc Rodrigo do CN; DJ JOAO DA INESTAN,Amantes da Foda,70,81,337924,brazilian funk; funk de bh; funk carioca,2022-03-25,1:21,True,https://open.spotify.com/track/4DhDNNhIDdduS6nZMbSMbs,spotify:track:4DhDNNhIDdduS6nZMbSMbs,242790,3828626,funk; brazil; funk bh,BR,Brazil,,100,,,Person,male,207233,2116805,,lastfm+mb
Reinventar / Guerra Fria - Ao Vivo,Panda,Panda; Ícaro e Gilmar; Humberto & Ronaldo; MJ Records,Cê Tá Doido (Santa Fé do Sul) [Ao Vivo],70,85,450531,sertanejo; sertanejo universitário,2025-06-03,4:33,False,https://open.spotify.com/track/1EX1mqUs9rm2CLXMV7ETjw,spotify:track:1EX1mqUs9rm2CLXMV7ETjw,216953,7872333,rock; pop punk; punk rock; punk; emo,MX,Mexico,poetics,100,1996,2016,Group,,11066,51827,,lastfm+mb
Set Dj Gm 6.0,Dj GM,Dj GM; Mc Paiva ZS; Triz; MC Paulin da Capital; Mc Lipi; Mc Lele JP; MC Ryan SP; Gabb MC; Mc Daniel; MC Cebezinho; MC GH do 7; MC Marks; Mc Negão Original; GREGO,Set Dj Gm 6.0,70,71,877157,funk consciente; brazilian funk; trap funk,2023-12-22,10:24,False,https://open.spotify.com/track/4WXVqLSRHF4ypdiBngbcqU,spotify:track:4WXVqLSRHF4ypdiBngbcqU,77227,799269,Funk Carioca; brazil,,,,100,,,,,44907,327199,,lastfm+mb
Pulando o Muro - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Intenso, Vol. 3 (Ao Vivo)",69,80,23470191,sertanejo; sertanejo universitário; agronejo; arrocha,2024-08-29,2:32,False,https://open.spotify.com/track/0KDxhAvKeiVFL1bZccQVJs,spotify:track:0KDxhAvKeiVFL1bZccQVJs,343844,17858898,sertanejo; Sertanejo Universitario; brazil; brasil; dupla sertaneja,BR,Brazil,sertanejo; sertanejo universitário,100,2011,,Group,,29285,166753,,lastfm+mb
Bebida Na Ferida - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,Esquece o Mundo Lá Fora (Ao Vivo | Deluxe),69,80,23470191,sertanejo; sertanejo universitário; agronejo; arrocha,2018-07-13,3:19,False,https://open.spotify.com/track/50YbE5MrvSu8Fz6A2dgTZ8,spotify:track:50YbE5MrvSu8Fz6A2dgTZ8,343844,17858898,sertanejo; Sertanejo Universitario; brazil; brasil; dupla sertaneja,BR,Brazil,sertanejo; sertanejo universitário,100,2011,,Group,,82619,479544,,lastfm+mb
Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,Matheus & Kauan,Na Praia (Ao Vivo),70,80,13416952,sertanejo; sertanejo universitário; arrocha; agronejo,2016-02-26,2:42,False,https://open.spotify.com/track/2CKg2u26mtyRYodwbxmA8l,spotify:track:2CKg2u26mtyRYodwbxmA8l,380059,19127869,sertanejo; All; brazilian country; Sertaneja; brazil,BR,Brazil,sertanejo; pop; country,100,2010,,Group,,133687,819313,,lastfm+mb
Saudade Proibida - Ao Vivo,Simone Mendes,Simone Mendes,Cantando Sua História 2 (Ao Vivo),70,79,3994494,sertanejo; sertanejo universitário; pagode; forró; piseiro,2025-12-11,2:40,False,https://open.spotify.com/track/3lKOC96UdjCG47HZDJVyih,spotify:track:3lKOC96UdjCG47HZDJVyih,185537,7903981,brazilian; Brega; sofrencia; sertanejo,CA,Canada,pop; pop rock; piano rock; english; folk pop,100,1998,,Person,male,41260,425986,,lastfm+mb
Erro Gostoso - Ao Vivo,Simone Mendes,Simone Mendes,Cintilante (Ao Vivo / Vol.2),70,79,3994494,sertanejo; sertanejo universitário; pagode; forró; piseiro,2023-10-20,2:58,False,https://open.spotify.com/track/6vq7r1Pqd3pyI07u63cPZV,spotify:track:6vq7r1Pqd3pyI07u63cPZV,185537,7903981,brazilian; Brega; sofrencia; sertanejo,CA,Canada,pop; pop rock; piano rock; english; folk pop,100,1998,,Person,male,131557,1418898,,lastfm+mb
Senta Poca,MC Meno K,MC Meno K; Kadu Martins; DJ Japa NK; DJ DAVI DOGDOG,Senta Poca,70,87,619794,brazilian funk; funk carioca; trap funk,2025-10-21,3:39,True,https://open.spotify.com/track/34qZBae134zVLUgZUeYHIc,spotify:track:34qZBae134zVLUgZUeYHIc,199840,1691869,Funk Carioca; brazil,BR,Brazil,,100,,,Person,male,14307,42983,,lastfm+mb
2025,MC Tuto,MC Tuto; DJ Oreia,2025,70,79,2541907,brazilian funk; funk consciente; trap funk,2024-12-16,2:52,False,https://open.spotify.com/track/0UGGLKM970ymsBBN5TKjsD,spotify:track:0UGGLKM970ymsBBN5TKjsD,195328,3130607,brazil; brazilian; funk; shoegaze; Drake,,,,100,,,,,54143,292391,,lastfm+mb
Engana Dizendo Que Ama,Veigh,Veigh; Tz da Coronel; Toledo; Nagalli; Bvga Beatz; Supernova Ent,Dos Prédios Deluxe,70,79,6805776,brazilian trap; trap funk; trap; brazilian hip hop,2023-05-19,3:08,True,https://open.spotify.com/track/39xOREhViooEYFpmnKTdrl,spotify:track:39xOREhViooEYFpmnKTdrl,320664,36553119,rap; trap; trap BR; Hip-Hop; goat,BR,Brazil,hip hop; underground hip hop; trap,100,2001,,Person,male,154588,2234542,,lastfm+mb
CONFISSÕES PT2,Nagalli,Nagalli; KayBlack; Veigh; Supernova Ent,MAGIC SHOW,70,72,511565,brazilian trap; trap; trap funk; brazilian hip hop,2024-04-25,2:25,True,https://open.spotify.com/track/0Q1ySdDoHDiotYn4nbMXNm,spotify:track:0Q1ySdDoHDiotYn4nbMXNm,141215,5364912,rap; brazil; trap,BR,Brazil,,100,1996,,Person,male,109644,1712109,,lastfm+mb
No Me Doy Por Vencido,Luis Fonsi,Luis Fonsi,Palabras Del Silencio (Edición Aniversario - Un Año Despues),70,78,11105735,latin,2008,3:59,False,https://open.spotify.com/track/4lerOTNr2tFWJCAmmhymhi,spotify:track:4lerOTNr2tFWJCAmmhymhi,1384349,15842933,latin; pop; latin pop; spanish; Romantica,PR,Puerto Rico,latin; yo no me doy por vencido; latin pop; pop,100,1978,,Person,male,125096,674571,,lastfm+mb
CAMBIARÉ,Luis Fonsi,Luis Fonsi; Feid,CAMBIARÉ,72,78,11105735,latin,2026-01-21,3:01,False,https://open.spotify.com/track/0DHkA97Q6SWz7uanmsCy8u,spotify:track:0DHkA97Q6SWz7uanmsCy8u,1384349,15842933,latin; pop; latin pop; spanish; Romantica,PR,Puerto Rico,latin; yo no me doy por vencido; latin pop; pop,100,1978,,Person,male,12111,40860,,lastfm+mb
Mistérios,KayBlack,KayBlack; Murillo e LT no Beat,Mistérios,70,76,4381754,brazilian trap; trap funk; trap; brazilian hip hop,2024-07-16,2:16,False,https://open.spotify.com/track/1K14aw84e0i5IHFHkq7aNn,spotify:track:1K14aw84e0i5IHFHkq7aNn,293440,22508848,trap; funk; brazil; hip hop; trap BR,BR,Brazil,,100,,,Person,male,93443,869023,,lastfm+mb
Maturidade,KayBlack,KayBlack; Wall Hein; AMUSIK,Maturidade,70,76,4381754,brazilian trap; trap funk; trap; brazilian hip hop,2022-09-08,2:22,True,https://open.spotify.com/track/5RHOhXxMVhpEaBcG6hIydA,spotify:track:5RHOhXxMVhpEaBcG6hIydA,293440,22508848,trap; funk; brazil; hip hop; trap BR,BR,Brazil,,100,,,Person,male,126015,1581152,,lastfm+mb
