track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Murky,Ngahere Wafer,Ngahere Wafer; Eterna,Murky,3,34,13219,emo rap,2020-05-11,4:16,False,https://open.spotify.com/track/2cWOP4fIXjlP5izfSlhfyW,spotify:track:2cWOP4fIXjlP5izfSlhfyW,40754,463392,UK; british,,London,,100,,,Person,,499,2113,,lastfm+mb
Bliss,Eterna,Eterna,Garland of Shame,5,30,8863,,2020-05-21,3:03,False,https://open.spotify.com/track/2J9v5N1hRcYHMHNKu3o0Vy,spotify:track:2J9v5N1hRcYHMHNKu3o0Vy,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,1141,3193,,lastfm+mb
Try to sleep,Eterna,Eterna,Wardrove,6,30,8863,,2023-02-24,5:00,False,https://open.spotify.com/track/2H7nYJNE5lNwjkXNDntAGv,spotify:track:2H7nYJNE5lNwjkXNDntAGv,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,1304,4080,,lastfm+mb
Debunker,Eterna,Eterna,Debunker,6,30,8863,,2025-01-31,3:50,False,https://open.spotify.com/track/7tBjDn4jCCVSBxxsuwN49T,spotify:track:7tBjDn4jCCVSBxxsuwN49T,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,1098,3136,,lastfm+mb
Which Cloud,Eterna,Eterna,Debunker,6,30,8863,,2025-01-31,2:16,False,https://open.spotify.com/track/2aniBd3hgi5NpNjiFsKlzQ,spotify:track:2aniBd3hgi5NpNjiFsKlzQ,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,1122,2599,,lastfm+mb
It Isn’t,Eterna,Eterna,Debunker,7,30,8863,,2025-01-31,4:27,False,https://open.spotify.com/track/5npx7NVCSjbnqpSBqIyXA2,spotify:track:5npx7NVCSjbnqpSBqIyXA2,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,1002,2422,,lastfm+mb
Now remains,Eterna,Eterna,Wardrove,7,30,8863,,2023-02-24,2:55,False,https://open.spotify.com/track/5NslCmuS6BcluvBS62mFt8,spotify:track:5NslCmuS6BcluvBS62mFt8,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,2272,6601,,lastfm+mb
Drink Organ,Taraneh,Taraneh,Grab Bag,1,30,7818,,2020-06-19,1:48,False,https://open.spotify.com/track/31B1CvjIeTKwhN5MC9ci1Z,spotify:track:31B1CvjIeTKwhN5MC9ci1Z,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,370,1374,,lastfm+mb
Happiness,Taraneh,Taraneh,A Fleeting Feeling,2,30,7818,,2022-07-28,2:14,False,https://open.spotify.com/track/52PVja6sj8FZ3bNvyUWe5r,spotify:track:52PVja6sj8FZ3bNvyUWe5r,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,850,2285,,lastfm+mb
So Far So Good,Taraneh,Taraneh,Grab Bag,2,30,7818,,2020-06-19,2:47,False,https://open.spotify.com/track/0mTTHdf8mTcKI2ObVQlEvR,spotify:track:0mTTHdf8mTcKI2ObVQlEvR,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,302,1319,,lastfm+mb
Next Week,Taraneh,Taraneh,Grab Bag,2,30,7818,,2020-06-19,2:06,False,https://open.spotify.com/track/0ImMKjqYZPrtgjZ3ssyezD,spotify:track:0ImMKjqYZPrtgjZ3ssyezD,54877,498994,iran; dream pop; folk; Garage Rock; female vocalist,,New York,,100,,,Person,female,860,2884,,lastfm+mb
